host,virus,longitude,latitude,n_tested,n_positive,prevalence
Rattus norvegicus,Orthohantavirus hantanense,127.321259676475,38.0877828533562,1,0,0
Rattus norvegicus,Orthohantavirus hantanense,127.699577822968,38.1277580337753,2,0,0
Rattus norvegicus,Orthohantavirus hantanense,127.715506079355,37.9196941410611,1,0,0
Rattus norvegicus,Orthohantavirus hantanense,127.802258693049,36.608761947948,16,3,0.1875
Rattus norvegicus,Orthohantavirus hantanense,127.98319770434,38.1282912347283,1,0,0
Rattus norvegicus,Orthohantavirus seoulense,126.98,37.53,38,1,0.02631578947368421
Rattus norvegicus,Orthohantavirus seoulense,126.981347876121,37.5316127869703,1414,37,0.02616690240452617
Rattus norvegicus,Orthohantavirus seoulense,126.981610609304,37.5300005805077,1939,34,0.017534811758638472
Rattus norvegicus,Orthohantavirus seoulense,127.0292,37.5828,46,3,0.06521739130434782
Rattus norvegicus,Orthohantavirus seoulense,127.2008,38.2378,2,0,0
Rattus norvegicus,Orthohantavirus seoulense,127.7761,37.9428,2,2,1
Rattus norvegicus,Orthohantavirus seoulense,128.183,41.4,88,15,0.17045454545454544
Rattus norvegicus,Orthohantavirus seoulense,128.8978,37.7142,4,2,0.5
Rattus norvegicus,NA,126.98,37.53,395,38,0.09620253164556962
Rattus rattus,Orthohantavirus hantanense,126.983782,37.922854,5,0,0
Rattus rattus,Orthohantavirus hantanense,127.08,38.1,1,0,0
Rattus rattus,Orthohantavirus hantanense,127.1069191,38.051592,1,0,0
Rattus rattus,NA,126.98,37.53,3,0,0
Sorex mirabilis,Orthohantavirus hantanense,127.896494409833,37.7763148819193,4,0,0
Tamias sibiricus,Orthohantavirus hantanense,127.321259676475,38.0877828533562,2,0,0
Tamias sibiricus,Orthohantavirus hantanense,127.715506079355,37.9196941410611,1,0,0
Tamias sibiricus,Orthohantavirus hantanense,128.402480061028,37.3939106141483,1,0,0
Tscherskia triton,Orthohantavirus hantanense,127.08,38.1,6,0,0
Tscherskia triton,Orthohantavirus hantanense,127.1069191,38.051592,6,0,0
Tscherskia triton,Orthohantavirus hantanense,127.230767489624,38.2565287261733,2,0,0
Tscherskia triton,Orthohantavirus hantanense,127.699577822968,38.1277580337753,2,0,0
Tscherskia triton,Orthohantavirus hantanense,127.7054,38.1067,1,0,0
Tscherskia triton,Orthohantavirus hantanense,127.98319770434,38.1282912347283,1,0,0
